0;A;A-D;B;B-D;C;C-D;D;D-D;E;E-D
80;Blow to foe's shield arm. If foe has anything that resembles a shield, it is broken.;+8H, stun no parry 2x;You snap foe's arm around like a noodle. His wrist is strained with the impact.;+10H, stun no parry 2x, (+5 Next Attack);Grip foe's weapon arm and drive his fist against a hard surface. Hand is fractured. Foe is disarmed.;+10H, stun 3x, foe @ -30;Strong blow to foe's weapon arm fractures his wrist. The pain makes his hand useless.;+15H, stun 3x, foe @ -30;Fierce blow to foe's weapon arm breaks bone. Arm is useless. Use arm as leverage to flip foe onto his stomach.;+18H, bleed, stun no parry 2x
81;Precision strike to foe's arm disarms him. Weapon hand is fractured. Foe is in pain.;+8H, stun no parry 2x, foe @ -25;Hand strike jams foe's finger into their sockets. Ouch! Foe drops everything in his hands.;+10H, stun 3x,foe @ -15;Strong blow to foe's arm fractures shoulder. You hit his shoulder one more time to make your point.;+10H, stun no parry 3x, foe @ -20;Grab foe's weapon arm and pull him over. Your kick to the ribs finally drops him to the ground.;+15H, stun no parry 3x;Shoulder strike breaks foe's collar bone. Miscellaneous internal organ damage.;+18H, stun no parry 6x, bleed, foe @ -30
82;Precision strike to foe's arm disarms him. Weapon hand is fractured. Foe is in pain.;+8H, stun no parry 2x, foe @ -25;Hand strike jams foe's finger into their sockets. Ouch! Foe drops everything in his hands.;+10H, stun 3x,foe @ -15;Strong blow to foe's arm fractures shoulder. You hit his shoulder one more time to make your point.;+10H, stun no parry 3x, foe @ -20;Grab foe's weapon arm and pull him over. Your kick to the ribs finally drops him to the ground.;+15H, stun no parry 3x;Shoulder strike breaks foe's collar bone. Miscellaneous internal organ damage.;+18H, stun no parry 6x, bleed, foe @ -30
83;Precision strike to foe's arm disarms him. Weapon hand is fractured. Foe is in pain.;+8H, stun no parry 2x, foe @ -25;Hand strike jams foe's finger into their sockets. Ouch! Foe drops everything in his hands.;+10H, stun 3x,foe @ -15;Strong blow to foe's arm fractures shoulder. You hit his shoulder one more time to make your point.;+10H, stun no parry 3x, foe @ -20;Grab foe's weapon arm and pull him over. Your kick to the ribs finally drops him to the ground.;+15H, stun no parry 3x;Shoulder strike breaks foe's collar bone. Miscellaneous internal organ damage.;+18H, stun no parry 6x, bleed, foe @ -30
84;Precision strike to foe's arm disarms him. Weapon hand is fractured. Foe is in pain.;+8H, stun no parry 2x, foe @ -25;Hand strike jams foe's finger into their sockets. Ouch! Foe drops everything in his hands.;+10H, stun 3x,foe @ -15;Strong blow to foe's arm fractures shoulder. You hit his shoulder one more time to make your point.;+10H, stun no parry 3x, foe @ -20;Grab foe's weapon arm and pull him over. Your kick to the ribs finally drops him to the ground.;+15H, stun no parry 3x;Shoulder strike breaks foe's collar bone. Miscellaneous internal organ damage.;+18H, stun no parry 6x, bleed, foe @ -30
85;Precision strike to foe's arm disarms him. Weapon hand is fractured. Foe is in pain.;+8H, stun no parry 2x, foe @ -25;Hand strike jams foe's finger into their sockets. Ouch! Foe drops everything in his hands.;+10H, stun 3x,foe @ -15;Strong blow to foe's arm fractures shoulder. You hit his shoulder one more time to make your point.;+10H, stun no parry 3x, foe @ -20;Grab foe's weapon arm and pull him over. Your kick to the ribs finally drops him to the ground.;+15H, stun no parry 3x;Shoulder strike breaks foe's collar bone. Miscellaneous internal organ damage.;+18H, stun no parry 6x, bleed, foe @ -30
86;Two brutal punches to foe's face. This barrage leaves foe confused and swinging in the wrong direction.;+8H, stun no parry 2x, (+20 Next Attack);Grab foe's weapon arm and beat on it without concern for the rest of foe. Foe is disarmed as ligaments are torn and muscles are pulled.;+10H, stun 4x, foe @ -25;Accurate chest strike knocks wind out of foe. He falls over on you and you knock him off with a upper cut. He stand back up and stumbles 5 feet.;+12H, stun no parry 3x, foe @ -30;Blow to front of foe's neck. His head snaps back, but it does not break his neck. Foe cannot speak for 2-20 hours. He yells in silence.;+18H, stun 6x;Nasty blow ruptures stomach. Foe is knocked down. Internal bleeding is mortal. Foe will die in 20 rounds. He is still active.;+20H, stun, bleed 10x, foe @ -50
87;Two brutal punches to foe's face. This barrage leaves foe confused and swinging in the wrong direction.;+8H, stun no parry 2x, (+20 Next Attack);Grab foe's weapon arm and beat on it without concern for the rest of foe. Foe is disarmed as ligaments are torn and muscles are pulled.;+10H, stun 4x, foe @ -25;Accurate chest strike knocks wind out of foe. He falls over on you and you knock him off with a upper cut. He stand back up and stumbles 5 feet.;+12H, stun no parry 3x, foe @ -30;Blow to front of foe's neck. His head snaps back, but it does not break his neck. Foe cannot speak for 2-20 hours. He yells in silence.;+18H, stun 6x;Nasty blow ruptures stomach. Foe is knocked down. Internal bleeding is mortal. Foe will die in 20 rounds. He is still active.;+20H, stun, bleed 10x, foe @ -50
88;Two brutal punches to foe's face. This barrage leaves foe confused and swinging in the wrong direction.;+8H, stun no parry 2x, (+20 Next Attack);Grab foe's weapon arm and beat on it without concern for the rest of foe. Foe is disarmed as ligaments are torn and muscles are pulled.;+10H, stun 4x, foe @ -25;Accurate chest strike knocks wind out of foe. He falls over on you and you knock him off with a upper cut. He stand back up and stumbles 5 feet.;+12H, stun no parry 3x, foe @ -30;Blow to front of foe's neck. His head snaps back, but it does not break his neck. Foe cannot speak for 2-20 hours. He yells in silence.;+18H, stun 6x;Nasty blow ruptures stomach. Foe is knocked down. Internal bleeding is mortal. Foe will die in 20 rounds. He is still active.;+20H, stun, bleed 10x, foe @ -50
89;Two brutal punches to foe's face. This barrage leaves foe confused and swinging in the wrong direction.;+8H, stun no parry 2x, (+20 Next Attack);Grab foe's weapon arm and beat on it without concern for the rest of foe. Foe is disarmed as ligaments are torn and muscles are pulled.;+10H, stun 4x, foe @ -25;Accurate chest strike knocks wind out of foe. He falls over on you and you knock him off with a upper cut. He stand back up and stumbles 5 feet.;+12H, stun no parry 3x, foe @ -30;Blow to front of foe's neck. His head snaps back, but it does not break his neck. Foe cannot speak for 2-20 hours. He yells in silence.;+18H, stun 6x;Nasty blow ruptures stomach. Foe is knocked down. Internal bleeding is mortal. Foe will die in 20 rounds. He is still active.;+20H, stun, bleed 10x, foe @ -50
90;Two brutal punches to foe's face. This barrage leaves foe confused and swinging in the wrong direction.;+8H, stun no parry 2x, (+20 Next Attack);Grab foe's weapon arm and beat on it without concern for the rest of foe. Foe is disarmed as ligaments are torn and muscles are pulled.;+10H, stun 4x, foe @ -25;Accurate chest strike knocks wind out of foe. He falls over on you and you knock him off with a upper cut. He stand back up and stumbles 5 feet.;+12H, stun no parry 3x, foe @ -30;Blow to front of foe's neck. His head snaps back, but it does not break his neck. Foe cannot speak for 2-20 hours. He yells in silence.;+18H, stun 6x;Nasty blow ruptures stomach. Foe is knocked down. Internal bleeding is mortal. Foe will die in 20 rounds. He is still active.;+20H, stun, bleed 10x, foe @ -50
91;Head strike breaks foe's nose. Appearance drops by 5 due to black eyes.;+10H, stun no parry 3x, foe @ -25;Land a solid shot to foe's head. Foe is definitely impressed. He steps towards you to keep from falling.;+12H, stun no parry 8x, for @ -40;Precision strike to foe's head sends him to the ground. You can actually see the stars spinning around his head.;+15H, stun no parry 9x, foe @ -35;Strong blow to face cracks jawbone. Ow! Jaw is stuck open and foe appears permanently surprised about something.;+20H, stun 9x, foe @ -30, (+10 Next Attack);Blow to foe's side. Bruise ribs, a kidney and a lung. Foe manages to remain standing. Oh that hurts ya know!;+25H, stun no parry 6x, foe @ -75
92;Head strike breaks foe's nose. Appearance drops by 5 due to black eyes.;+10H, stun no parry 3x, foe @ -25;Land a solid shot to foe's head. Foe is definitely impressed. He steps towards you to keep from falling.;+12H, stun no parry 8x, for @ -40;Precision strike to foe's head sends him to the ground. You can actually see the stars spinning around his head.;+15H, stun no parry 9x, foe @ -35;Strong blow to face cracks jawbone. Ow! Jaw is stuck open and foe appears permanently surprised about something.;+20H, stun 9x, foe @ -30, (+10 Next Attack);Blow to foe's side. Bruise ribs, a kidney and a lung. Foe manages to remain standing. Oh that hurts ya know!;+25H, stun no parry 6x, foe @ -75
93;Head strike breaks foe's nose. Appearance drops by 5 due to black eyes.;+10H, stun no parry 3x, foe @ -25;Land a solid shot to foe's head. Foe is definitely impressed. He steps towards you to keep from falling.;+12H, stun no parry 8x, for @ -40;Precision strike to foe's head sends him to the ground. You can actually see the stars spinning around his head.;+15H, stun no parry 9x, foe @ -35;Strong blow to face cracks jawbone. Ow! Jaw is stuck open and foe appears permanently surprised about something.;+20H, stun 9x, foe @ -30, (+10 Next Attack);Blow to foe's side. Bruise ribs, a kidney and a lung. Foe manages to remain standing. Oh that hurts ya know!;+25H, stun no parry 6x, foe @ -75
94;Head strike breaks foe's nose. Appearance drops by 5 due to black eyes.;+10H, stun no parry 3x, foe @ -25;Land a solid shot to foe's head. Foe is definitely impressed. He steps towards you to keep from falling.;+12H, stun no parry 8x, for @ -40;Precision strike to foe's head sends him to the ground. You can actually see the stars spinning around his head.;+15H, stun no parry 9x, foe @ -35;Strong blow to face cracks jawbone. Ow! Jaw is stuck open and foe appears permanently surprised about something.;+20H, stun 9x, foe @ -30, (+10 Next Attack);Blow to foe's side. Bruise ribs, a kidney and a lung. Foe manages to remain standing. Oh that hurts ya know!;+25H, stun no parry 6x, foe @ -75
95;Head strike breaks foe's nose. Appearance drops by 5 due to black eyes.;+10H, stun no parry 3x, foe @ -25;Land a solid shot to foe's head. Foe is definitely impressed. He steps towards you to keep from falling.;+12H, stun no parry 8x, for @ -40;Precision strike to foe's head sends him to the ground. You can actually see the stars spinning around his head.;+15H, stun no parry 9x, foe @ -35;Strong blow to face cracks jawbone. Ow! Jaw is stuck open and foe appears permanently surprised about something.;+20H, stun 9x, foe @ -30, (+10 Next Attack);Blow to foe's side. Bruise ribs, a kidney and a lung. Foe manages to remain standing. Oh that hurts ya know!;+25H, stun no parry 6x, foe @ -75
96;Blow to solar plexus causes foe to vomit. He falls to his knees. Foe is unable to do anything but retch. Do you have pity?;+10H;Groin strike is solid. You kick him again. Your strike leaves foe helpless. Really unkind.;+18H, stun no parry 12x;Strike foe in head. If he has helm, you pull it off and hit him with it. He is knocked out for 4 hours. If foe has no helm, you knock him out for 5 rounds.;+20H;Strong blow to the abdomen causes internal bleeding and organ damage. Foe makes it a habit of spitting blood.;+25H, bleed 1x;Grip foe's neck. You shake him violently, while attempting to choke him. He passes out. You can finish him if you want.;+30H, bleed 1x, (+20 Next Attack)
97;Blow to solar plexus causes foe to vomit. He falls to his knees. Foe is unable to do anything but retch. Do you have pity?;+10H;Groin strike is solid. You kick him again. Your strike leaves foe helpless. Really unkind.;+18H, stun no parry 12x;Strike foe in head. If he has helm, you pull it off and hit him with it. He is knocked out for 4 hours. If foe has no helm, you knock him out for 5 rounds.;+20H;Strong blow to the abdomen causes internal bleeding and organ damage. Foe makes it a habit of spitting blood.;+25H, bleed 1x;Grip foe's neck. You shake him violently, while attempting to choke him. He passes out. You can finish him if you want.;+30H, bleed 1x, (+20 Next Attack)
98;Blow to solar plexus causes foe to vomit. He falls to his knees. Foe is unable to do anything but retch. Do you have pity?;+10H;Groin strike is solid. You kick him again. Your strike leaves foe helpless. Really unkind.;+18H, stun no parry 12x;Strike foe in head. If he has helm, you pull it off and hit him with it. He is knocked out for 4 hours. If foe has no helm, you knock him out for 5 rounds.;+20H;Strong blow to the abdomen causes internal bleeding and organ damage. Foe makes it a habit of spitting blood.;+25H, bleed 1x;Grip foe's neck. You shake him violently, while attempting to choke him. He passes out. You can finish him if you want.;+30H, bleed 1x, (+20 Next Attack)
99;Blow to solar plexus causes foe to vomit. He falls to his knees. Foe is unable to do anything but retch. Do you have pity?;+10H;Groin strike is solid. You kick him again. Your strike leaves foe helpless. Really unkind.;+18H, stun no parry 12x;Strike foe in head. If he has helm, you pull it off and hit him with it. He is knocked out for 4 hours. If foe has no helm, you knock him out for 5 rounds.;+20H;Strong blow to the abdomen causes internal bleeding and organ damage. Foe makes it a habit of spitting blood.;+25H, bleed 1x;Grip foe's neck. You shake him violently, while attempting to choke him. He passes out. You can finish him if you want.;+30H, bleed 1x, (+20 Next Attack)
100;Elbow foe's face and then punch him hard. He is paralyzed from the neck down for 2 days. He falls instantly to the ground.;+13H;Strike to foe's head. If he has no helm, he is in a coma for 10-100 days. If foe has a helm it leaves a bruise on his head. Foe drops and is unconscious.;+20H;Mighty strike crashes into foe's head. If he has a helmet, he is unconscious for 1-10 days. If he has no helmet, skull collapses and brain is dead.;+25H, bleed 1x;Grip foe's arm and pound on foe's head. One shot hits head. Crushing strike to foe's temple. Foe dies instantly.;Death;Your strike is frightening. Foe's head snap to one side. Foe cannot breathe. He looks upon the world one last time and then dies. You are horrified at his doom.;Death
